Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing\n
Civil Bank Ltd,167,140.00,137.00,138.00,99811.00,13740560.00,141.00\n
Civil Laghubitta Bittiya Sanstha Ltd.,63,1059.00,962.00,996.00,2793.00,2734572.00,1068.00\n
